country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.7,4.4,4.9,5.6,5.8,5.6,5.6,5.6,
Norway,,,,,,,,,,,,,9.5,,,,,,,10.2,,,,,10,,,,9.7,,,,,9.7,,,9.5,8.8,9,9.2,9.4,9.1,9.4,9.5,9.5,9.4,9.3,9.1,9,8.6,8.9,
Pakistan,,,,,,,,,,,,,,,,,,,,,8.3,,,8.1,,,,,,9.9,,8.7,,,9.4,,,8.8,9,,9.2,,,9.6,9.3,,9.2,,8.9,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.3,7.8,7.1,,7.7,7.5,7.7,,,,,7.3,,
Panama,,,,,,,,,,,,,3.9,,,,,,,,,,0.8,,1.2,,,,1.4,,1.7,1.6,1.9,2.1,1.9,2.5,2.4,2.6,2.7,2.5,3,3.2,3.5,3.3,3.4,3.2,3.3,3.4,3.4,3.3,3.4,3.6
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,5.1,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,2.4,,2.5,,2.8,,3.1,2.9,3.4,4,3.9,3.6,3.6,4.1,4,3.8,3.5,4.2,4.4,4,4.3,4.5,4.6,4.7
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.8,2.7,3.5,3.4,3.2,3.6,3.7,3.6,3.5,3.5,3.8,4,4.3,4.4,4.4,4.5,4.7,4.7,4.6,4.7,4.9
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,5.2,,,5,,,5.3,,,5.2,,,5.7,,,
Poland,,,,,,,,,,,,,,,,,,,9.8,8.5,9.7,,9.2,,,8.7,,,6.8,,,,7.5,,,,,5.7,6.4,6.8,7.2,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.4,8,8.3,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.4,6.7,6.7,6.9,6.9,7.2,7,6.8,6.4,6.2,6.5,6.7,6.9,7.4,
Romania,,,,,,,,,,,,,,,,,,,,,,,9.9,,,9.2,,8.9,7.9,,8.2,,,,,,,,,5,5.5,5.8,6,5.7,5.5,5.3,5,4.9,5.1,5.6,5.3,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,4.5,6.3,6.2,6.3,6.4,6.6,6.6,6.1,6,5.8,5.9,5.8,6.1,6.4,6.4,6.5,6.3,6.4,6.6,6.9,7,7.1,7.1
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,4.5,,,,,5.6,,,6,,,6,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,6.4,,,,,6.8,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,8.4,,,,,,,3.9,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,6.5,,,,,,,6.6,,,,6.2,,,,,,6.1,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.7,4.3,4.4,4.5,5.2,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,7.9,,,,,,,7.9
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,8.8,,,,,,,,8.7,8.7,9.3,9.5,9.2,8.6,8.5,8.7,8.6,8.3,8.4,8.5,8.7,,
Slovenia,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,9.3,,,,10,,10,,,,,9.8,9.9,10,10,10.2,9.8,9.7,9.7,9.4,9.2,9.4,9.6,9.7,10,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,2.7,,,,3.1,,,,,2.6,,,2.6,,2.5,,,,2.4,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.2,,7.3,,7.3,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,
Spain,,,,,,,,,,,,,,6.9,,,,,7.2,,,,,7.7,,,,,6.2,,,,,7.1,,,7.2,6.9,7,6.7,6.7,6.6,6.3,6.3,6,6.1,5.7,5.7,5.8,5.7,6.2,
Sri Lanka,,,,,,,,,,,,,,,,,,,8.3,,,,,8.7,,,,,8,,,,,,,6.8,,,,6.9,,,7.7,,,7.1,,,,7,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,3.1,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,7.8,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Sweden,4.9,,,,,,,,10,,,,,,10,,,,,,10.3,,,,,9.7,,,9.4,,,,,9.3,,,9.3,9.3,8.7,9.2,8.9,8.6,8.6,8.6,8.5,8.5,8.1,8.4,8.2,8.1,8.3,
Switzerland,,,,,,,,,,,,,,,,7.4,,,,,,,,,,7.5,,,,,,,,7.8,,8.1,,,,7.4,7.4,7.5,7.8,7.8,7.9,8.1,7.9,7.8,7.8,7.6,7.7,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,7.9,7.8,,,7.4,,8.4,,,,,,7.4,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,6.8,,,,,,,6.3,,,,7.4,,,,,,6.9,
Thailand,,,,,,,,,,,,,,,5.4,,,,,,,6.1,,5.9,,5.4,,6.1,,6.2,,6.4,6.1,6.2,,6.3,,6.1,,6,6.5,6.4,6.5,6.6,7.2,6.6,6.9,7.1,7.5,7.3,7.3,7.2
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,9.5,,,,,,,9.4,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,4.8,,,,5,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,6.7,,,,,,6.8,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,4.9,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,5.5,,,,,5.9,,,,,5.7,,,,,6,,,,,6.4,,,,,6.7,,,,,7.8,,,
Turkey,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,5.8,,,,,,,,5.8,5.5,5.4,5.2,5.6,5.8,5.7,5.9,5.9,5.8,5.8,5.8,5.8,5.6,5.7,5.8,5.8
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,
