country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
India,,39,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,16.1,16.2,16.4,11.5,,,,3.21,3.16,4.46,3.88,4.28,3.01,2.26,,,,,,
Indonesia,,29.9,28.8,,29.1,26.6,23.7,21.3,14.6,,,9.88,3.97,2.58,2.29,2.17,2.78,1.95,2.23,2.12,3.77,4.68,5.54,6.75,6.21,6.39,7.48,7.54,,,,3.85,4.54,5.05,5.8,6.75,5.4,3.04,3.91,3.16,2.75,3.17,4.05,6.27,6.82,,6.38,5.06,5.62,
Iran,,40.6,,,,,,,,,,,,,16.8,16.7,15.8,15.6,14.8,14.5,8.56,,4.9,,,,,8.44,,14.5,13.8,,2.87,3.95,2.24,4.67,4.13,4.78,,2.2,3.35,3.21,1.98,1.2,0.372,0.231,0.215,0.229,,
Iraq,,42.9,40.3,37.7,35.3,35.5,27.5,26.2,24.6,10,6.49,7.27,,11.6,,12.6,11.9,10.1,9.02,10.1,,,,21.4,,,23.9,,,9.96,11.1,,,5.62,7,,,7.2,,,,,,,,,,,,
Ireland,,2.22,2.98,2.78,3.94,4.16,4.05,4.06,4.17,4.98,6.22,8.05,10,11.6,,,13,12.3,11.4,11,10.6,11.2,12,12.4,12.4,12.1,11.2,,0.233,0.0985,0.0408,0.183,0.22,0.019,0.0919,0.259,0.117,0.175,0.0745,0.0264,0.2,2.47,0.0579,0.0727,0.0374,0.0488,0.0116,0.0287,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.45,0.137,0.162,0.148,0.0465,0.021,0.197,0.0883,0.111,0.0895,0.0766,0.0736,0.0457,0.0153,0.0974,0.099,0.322,0.253,,
Italy,,,,0.507,,,1.62,,,0.497,,,,,,0.991,,,,,,,,,,2.94,1.77,0.865,,0.117,0.0953,0.247,0.297,0.374,0.331,0.577,0.634,0.613,0.596,0.505,0.408,0.481,0.262,0.115,0.84,1.48,2.05,2.52,,
Jamaica,,,,,,4.85,7.5,7.03,,3.52,3.5,3.59,,2.56,3.76,4.5,4.3,2.24,5.36,1.9,2.63,4.27,,7.33,,,,,,8.62,7.15,7.13,7.93,9.18,7.19,,,,,,,,,,,11.8,13.3,13.8,15.6,
Jordan,,,13.2,7.68,5.36,4.97,4.32,3.46,2.59,3.03,8.29,10.4,10.7,13.4,13.6,12.8,,,,,,,,,,,,,,9.5,8.7,,6.85,5.62,5.38,6.35,8.08,10.6,13.3,,19.2,21.7,24.5,25.1,,,23.1,19.8,19,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34,0.0863,0.192,0.412,0.321,0.332,0.789,1.16,0.114,0.123,0.364,0.415,0.258,0.257,0.107,0.0278,0.195,0.824,0.991,0.923
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,35.7,27.8,30.2,16.7,18.6,18.2,19.2,9.62,13.4,11.1,,,18.8,,,,,,,
Kiribati,,,,,,,,,,1.29,,0.272,,0.65,0.58,1.19,2.58,5.61,,1.58,,0.272,0.061,1.15,0.951,1.7,1.68,0.885,,,,,,,,,,,,,,,,,1.35,2.56,1.76,3.91,,
Kuwait,,38.5,35.8,32.4,31.2,30,28.6,23.9,15,16.7,18.3,17.4,16.4,13.9,12.6,11,11.3,16.5,18.1,,,,53,,32,,10.7,11.2,5.16,5.17,8.58,9.11,6.55,7.32,5.6,7.28,,1.37,1.41,,0.992,0.538,0.603,1.16,1.28,1.67,2.7,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,,,5.39,6.4,5.55,5.7,5.85,1.17,3.79,2.55,3.59,4.12,4.75,4.03,4.23,1.59,0.442,0.355,0.39,0.373,0.291,0.288,
Lao,,,,,,,,,,,,,,,,,,,35.1,,35.3,,42.1,37.3,33.5,,31.6,29,25.7,25.1,24.1,24.6,23.4,20.8,20.2,18.9,17.4,14.8,12.3,10,5.39,5.64,5.66,3.75,3.44,5.11,5.99,7.51,8.51,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,,,,,,,,,0.00854,0.876,0.868,0.767,1.46,1.86,2,2.04,1.74,1.52,,
Lebanon,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,40.9,44.7,44.1,43.8,36.2,,35.8,35.1,41.6,40.6,40.5,40.4,36.6,37.2,36.4,34.3,34.6,33.5,32.7,33.6,34.9,33.7,33.7,36,35.1,36.1,35.9,,42.7,45.5,25.3,23.5,20.8,18.1,17.8,15.9,13.6,15.1,13.4,12.8,10.8,10.6,10.3,9.36,9.12,7.62,5.34,2.43,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,,,,,,,,,56.2,,,,,,6.77,,,21.4,,
Libya,,21.5,13.6,8.93,6.66,6.14,4.6,4.07,6.69,,3.13,3.24,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724,0.425,4.78,1.1,1.1,0.782,1.48,0.764,1.25,1.52,,2.34,0.0335,0.324,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,0.0303,0.114,0.311,0.251,0.111,0.155,0.19,0.212,0.194,0.12,0.114,0.0392,0.0864,0.124,0.138,0.0675,0.0822,0.1,0.225,,
Luxembourg,,,8.86,10,7.81,8.75,9.11,9.7,10.1,,,21.1,15.6,16.9,18.3,,18.2,21.4,15.1,,,,,,,,,,,1.9,2.25,2.46,2.23,4.12,3.48,1.7,1.16,1.07,1.84,,4.29,4.71,3.49,3.61,2.8,1.06,0.239,0.568,,
Madagascar,,,32.9,,,,,,,,,,,,,,,,,34.3,35.7,,,,,45.3,43.1,,,35.1,33.2,32,31.6,21.9,,,,,,,,,,,,,,,1.96,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,1.54,1.54,2.1,4.89,2.16,1.77,,,,,,,,,,
Malaysia,13,13.3,12.2,,,,,,,,,,,,,,,,,,,,,,2.75,,,,4.22,3.02,1.59,2.19,3.41,2.91,0.625,0.407,4.59,4.89,4.93,4.13,3.77,2.94,1.46,0.336,0.108,0.483,0.179,0.354,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,,2.36,2.12,0.556,0.773,,0.301,0.721,0.234,0.373,0.42,,,,,,,0.47,2.71,4.13,,
Mali,,83,82.3,81.9,79.5,,,79.3,,,,,,,,,,,,,,,,,,,,,,56,,,48.4,48.4,48.4,43.3,42,39.9,,32.8,31.7,30.7,32.9,37.4,36.5,39.3,37.9,32.6,41,
Malta,,18.3,19.3,21,20.2,17.5,12.2,7.01,3.41,2.42,4.77,6.48,6.54,8.13,6.96,3.61,4.04,5.21,5.4,4.83,4.2,4.08,4.15,3.84,5.02,4.08,2.55,1.65,,,,,,,,,,,,,,0.707,0.105,0.333,0.748,0.699,1.22,0.233,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544,,,,,,,,,5.89,,,,25.3,24,,,
Mauritania,,,,,,,,,,,,,,,,68.5,,,,,,,,,53.5,47.2,43.8,,40.1,40.5,39.9,36.2,36.4,33,25.8,27.1,24.4,23.5,27,27.7,27.3,26.7,28,25.2,23.1,,26.5,21.7,19.7,
Mauritius,,,22,21.5,20.9,19.9,19.9,16.4,18.7,21.4,20.7,17.4,11.5,8.37,5.18,0.0918,1.59,0.351,0.545,0.672,2.82,7.38,,7.24,6.26,5.32,3.02,2.1,0.116,0.284,0.225,0.456,0.631,0.9,1.74,0.647,0.612,0.637,0.396,0.95,1.06,1.19,4.29,2.15,1.19,1.08,1.5,1.1,1.3,
