country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Serbia,,,,,,,,,,,,,,,,,,,8.8,9.64,13.1,15.9,17,18.3,15.4,15.3,13.9,12.2,10.8,8.34
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,3.31,3.66,3.24,3.22,2.54,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,
Singapore,,,,,3.04,2.22,3.03,0.8,1.05,,,0.97,1.84,2.16,,,3.68,3.41,3.77,3.84,2.83,2.63,2.76,2.74,,3.72,,4.12,,
Slovak Republic,,,,,1.13,0.8,,0.87,3.15,4.14,5.26,5.22,3.97,4.35,5.89,5.06,3.32,4.07,3.54,4.22,5.81,5.84,6.83,7.25,6.41,6.04,5.65,4.15,3.08,2.5
Slovenia,,,,,,,,,2.77,3.04,2.2,2.25,2.46,3.72,2.78,3.18,3.22,3.28,3.37,3.21,4.27,4.9,6.06,6.13,6.27,5.77,6.14,5.21,3.62,3
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,0.456,,,,,,
South Africa,,,,,,,,,,,5.87,6.83,5.98,5.4,4.32,3.74,3.53,3.41,5.88,5.98,6.86,6.56,,7.43,8.25,8.88,10.7,12.9,12,13.6
South Korea,,3.61,3.45,3.99,3.56,1.65,1.65,1.89,3.65,3.25,,,,,,,,,,,,,,,,4.07,4.21,4.32,4.12,3.89
Spain,,,,,,,,,15.3,12.8,10.9,7.82,8.69,8.24,8.27,6.73,5.99,5.25,6.31,9.65,11.2,12.5,14.9,16,14.7,13.2,11.7,9.96,8.91,8.61
Sri Lanka,,,,,,,,,,,,,,,,,,,,7.17,10.7,7.52,7.54,4.21,4.8,5.99,6.22,7.1,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,7.83,9.55
Sudan,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,,,
Sweden,,,,,,,,,4.55,3.94,2.99,2.3,2.65,3.49,3.97,4.46,4.42,3.61,3.49,4.51,4.72,4.26,4.35,4.38,4.37,4.27,4.04,4.06,3.7,3.72
Switzerland,,1.23,2.34,2.26,3.15,2.12,,,2.98,1.85,1.34,1.46,2.21,2.99,2.71,2.8,2.42,2.19,1.9,2.74,3.1,2.96,3.03,3.37,3.43,3.52,3.32,3.74,3.48,3.25
Tajikistan,,,,,,,,,,,,,,,,,,,,5.51,,,,,,,,,,
Tanzania,,,,,,,,,,,,2.39,,,,,5.02,,,,,4.02,,5.02,5,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,1.79,1.84,1.25,0.8,1.34,1.36,1.54,1.75,1.58,1.49
Timor-Leste,,,,,,,,,,,,,,,,,,,,,6.67,,,3.74,,,6.14,,,
Togo,,,,,,,,,,,,,,,,,11.7,,,,,6.95,,,10.6,8.23,,13.5,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,1.72,1.74,1.67,2.21,1.62,1.82,2.35,,,
Tunisia,,,,,3.79,,,8.11,,,,,,,,14,16.9,18.2,20,21.9,22.9,29.2,26.1,30.2,,26.8,,,,
Turkey,,,,,,,,,,,,,11.5,11.1,12.4,10.2,8.13,8.49,9.16,10.8,9.78,9.37,8.93,9.25,10.5,10.8,11.8,12.4,12.2,13.5
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,7.14,6.89,6.83,8.09,8.24,8.17,8.37,7.7,
United Arab Emirates,,,,,,2.16,,,,,,,,,,4.05,,,,,,,,,,,,3.85,3.33,
United Kingdom,,,,,,,,,3.99,2.93,2.45,2.21,2.61,2.51,2.35,2.56,2.74,2.53,2.8,3.96,4.06,4.31,4.29,3.93,3.17,2.94,2.92,2.76,2.51,2.48
United States,,,,,3,2.84,2.67,2.3,2.06,2.12,1.93,2.56,3.33,3.46,3.1,2.71,2.43,2.42,3.01,5.34,5.47,5.14,4.74,4.32,3.69,3.03,2.91,2.69,2.45,2.38
Uruguay,,,,,,,,,6,6.8,9.06,4.03,4.56,5.04,3.61,3.24,3.38,3.03,3.39,2.12,2.01,1.98,2.12,1.98,1.87,2.21,2.49,2.54,3.01,3.23
Vanuatu,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,10.5,8.77,8.02,6.93,6.84,8.11,8.54,7.95,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,2.24,2.51,2.82,3.89,3.97,4.59,4.63,4,2.08,2.59
Yemen,,,,,,,,,,,,,,,,,,,,,12.2,,,,14.8,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,7.97,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,6.72,,,9.37,,,,,
