country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Panama,,,,,,,,,,,,,53.4,,,,,,,,,,61,,60.6,,,,60.5,,61.3,60.6,59.8,60.3,60,59.9,59.6,58.7,57.7,58.4,56.6,57,56.4,56,55.8,56.1,56,54.8,55.3,54.8,54.2,53.6
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,,,,,,,47.3,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,47.1,,,,,61.8,,58.4,,58.6,,58.9,61.1,59.4,57.3,56.3,57.6,57.6,55.7,53.9,55.6,56.7,52.5,53.1,55.6,52.7,53.1,54,51.7
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,60.3,60.4,53.3,55.5,57.7,57.7,54.3,54.7,54.4,54.2,51.8,51.6,50.3,49.5,49.3,48.9,48.3,48.7,48.8,48.4,48.3
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,,,52.6,,,53.1,,,52.5,,,52.7,,,50.9,,,
Poland,,,,,,,,,,,,,,,,,,,35,36.6,35.4,,36.1,,,38,,,41.6,,,,39.8,,,,,43.9,42.4,41.7,41.4,40.9,40.9,40.7,40.6,40.4,40.5,40.3,39.3,39.4,38.2,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,46.3,46.1,45.4,44.2,44.1,42.5,43.4,43.8,43.2,43.1,42.6,42.7,42.6,41.6,
Romania,,,,,,,,,,,,,,,,,,,,,,,33.3,,,34.8,,37.3,39.2,,38.9,,,,,,,,,45,43.3,42.3,41.5,41.1,41.2,41.8,41.6,40.7,40.8,39.6,41,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,,,51.1,45.1,44.6,43.8,43.7,43.8,44.2,46.7,46.8,47.7,47.5,48.9,48.5,47.1,46.6,47,47.8,48,47.1,45.3,44.4,44.8,45.1
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,,,,,58,,,,,54.1,,,52.2,,,50.8,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,,,,,,49.2,,,,,46.4,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,,,39.5,,,,,,,61.2,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,58.6,,,48.4,,,,,,,48.4,,,,45.8,,,,,,46.9,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,44.3,44.8,45,43.5,41.5,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,,,,,42.4,,,,,,,44.2
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,35.3,,,,,,,,35.9,38.3,35.5,34.5,35.6,36.1,36.1,35.4,34.9,36.5,34.5,35,34,,
Slovenia,,,,,,,,,,,,,,,,,,,,,34.2,,,,,,38.6,,,,34.2,,34.2,,,,,34.7,34.6,34.4,34.4,34,34.7,34.8,34.8,35.2,35.7,35.4,35.1,34.7,34.4,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,44.6,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,,,65.9,,,,62.7,,,,,71,,,68.7,,68.9,,,,68.2,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,39.7,,39.4,,39,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,,,,,,
Spain,,,,,,,,,,,,,,41.7,,,,,42.1,,,,,39.9,,,,,43.3,,,,,41.6,,,39.1,40.3,39.6,40.4,41,41,41.5,41.7,41.8,41.6,41.9,41.9,42.1,41.7,41,
Sri Lanka,,,,,,,,,,,,,,,,,,,41.1,,,,,41.7,,,,,44,,,,,,,48.6,,,,47.9,,,44.7,,,47,,,,47.6,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,,,,,,,,,,,,,,,,,,,,,55.4,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,,42.4,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,,,,,,,,,,,,,,,,,,,
Sweden,39.5,,,,,,,,34.2,,,,,,32.8,,,,,,33.2,,,,,34.5,,,34.4,,,,,36.6,,,34.7,35.5,35.6,35.6,36.2,36.9,36.2,36.6,36.3,36.4,37.1,37,37.6,37.8,37.1,
Switzerland,,,,,,,,,,,,,,,,43.5,,,,,,,,,,41.3,,,,,,,,41.3,,39.7,,,,41.4,41.8,41.3,40.6,40.4,39.8,39.8,40.5,40.5,40.2,40.8,40.6,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,40.9,41.9,,,39.7,,39.3,,,,,,41.7,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,44.7,,,,,,,47.2,,,,45.8,,,,,,48.1,
Thailand,,,,,,,,,,,,,,,51.4,,,,,,,50.7,,52.2,,54.4,,50.4,,49.9,,48.5,50.1,49.7,,48.9,,49.3,,48.5,46.7,47.2,46.5,46.5,45.1,46.3,45.1,44.5,43.8,44.5,44.1,44
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,37.5,,,,,,,38.4,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,51.6,,,,48.6,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,,,44.6,,,,,,45.4,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,48,,,,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,49.6,,,,,46.3,,,,,47.9,,,,,47.3,,,,,44.7,,,,,42.9,,,,,40.9,,,
Turkey,,,,,,,,,,,,,,,,,,,,,49.9,,,,,,,47.6,,,,,,,,47.7,48.4,47,48.3,45.6,44.7,45.1,45.4,45.2,46.5,46.6,46.6,47.7,49.2,48.3,47.9,48.5
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,
