country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,40.4,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,
Sudan,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,24.7,,,,,,
Sweden,35.4,,,,42.7,,,,,51.1,,,,,,,52.9,54.2,55.6,56.9,58.8,60,62.7,64.5,65.7,67,,,,,,,,,78.2,79,79.7,80.4,76.3,77,77.6,78.3,79,73.9,74.5,75,75.6,76.1,
Switzerland,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,82.5,82.4,83.2,,84.6,85.2,84.5,,85.7
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,21.9,21.4,21.9,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,80.6,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,3.4,,,,,,
Thailand,,,,,,,,,,,5.31,,,,,,,,,,,,,,,,,,,,,,,,22.6,,22.6,,,,27.3,,,29.3,,,32.7,,
Togo,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,9.26,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,,,
Trinidad and Tobago,,,,,,,,,,,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,56.7,,,,,,,,,
Tunisia,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22.2,23.2,23.7,26.5,27.7,30,31.8,32.8,33.8,35.2,37.1,37.7,39,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,6.45,,,,,,8.77,,10.7,,9.87,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,,,,,,,,,,,53.1,67.1,69.1
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,86.4,86.1,87.7,74,74.7,,,77.1,
United States,65.7,,,,,,,,,,77.1,,,,,,,,,,,,,,,,,,,,,,,,85.2,85.2,85.7,,86.6,86.7,87.1,87.6,87.7,88.2,88.3,88.4,89.1,,89.8
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,,24.7,,27,27.8,27.2,27,27.5,27.6,28.5,28.7,28.7,30,30.4
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,91.9,92.1,92.6,,96.1
Vanuatu,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,39.8,41.4,43,,,,,,55.8,61.9,,
Vietnam,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,6.08,,15.2,,,12.3,
