country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0172,,,,,,0.0196,0.0138,0.0145,0.0244,0.0246,0.0278,0.0318,0.0373,0.015,0.0184,0.0293,0.0274,0.0228,0.0283,0.0174,0.0161,0.0101
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00984,0.0102,0.0126,0.0195,0.0385,0.0243,0.0144,0.0114,0.00928,0.0138,0.0124,0.0124,0.0149,0.0169,0.0191,0.0181,0.019,0.021,0.0296,0.0308,0.0283,0.0277,0.0268,0.026,0.024,0.0204,0.019
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0261,0.0309,0.0338,0.0342,0.0345,0.0273,0.0237,0.0333,0.0342,0.0325,0.0255,0.0259,0.0166,0.0204,0.0195,0.0211
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0424,,,,,,,,,,,,,,,,0.0522,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00878,0.018,0.0157,0.00911,0.00974,0.0113,0.0193,0.018,0.0174,0.0156
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.0909,0.102,0.109,0.109,0.0844,0.072
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0138,0.0094,,0.0051,0.0038,0.0069,0.005,0.0057,0.0048,,0.0072,,,0.0101,0.0133,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00513,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00427,,0.00617
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0743,,,,,,,,0.0435,0.0258,0.0324,,0.0528,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00205,,,,,,,,,
